"iid","gender","wave","match","dec_o","age","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","dec","attr","sinc","intel","fun","amb","shar","prob"
6,0,1,0,0,23,4,10,25,20,25,5,15,1,8,9,9,9,10,7,8
7,0,1,0,0,22,7,15,15,25,20,15,10,0,4,8,8,5,7,4,4
7,0,1,0,1,22,7,15,15,25,20,15,10,0,6,6,8,4,9,4,3
7,0,1,0,1,22,7,15,15,25,20,15,10,0,3,6,8,7,8,8,8
7,0,1,1,1,22,7,15,15,25,20,15,10,1,7,8,8,7,7,6,6
7,0,1,0,1,22,7,15,15,25,20,15,10,0,4,7,7,4,8,5,6
7,0,1,0,1,22,7,15,15,25,20,15,10,0,4,8,7,4,5,4,5
7,0,1,0,0,22,7,15,15,25,20,15,10,1,7,7,8,7,7,7,7
7,0,1,0,1,22,7,15,15,25,20,15,10,0,5,7,8,5,9,5,7
7,0,1,1,1,22,7,15,15,25,20,15,10,1,6,6,8,8,8,6,6
7,0,1,0,0,22,7,15,15,25,20,15,10,1,8,6,7,7,8,6,5
8,0,1,0,0,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,5,8,7,4,7,5,5
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,8,7,7,9,6,7,7
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,5,8,8,6,7,7,5
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,8,6,5,6,6,5,6
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,6,8,8,5,6,7,5
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,6,8,8,5,6,7,5
8,0,1,0,0,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,6,7,8,5,7,7,6
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,5,6,7,4,5,6,4
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,8,8,5,9,8,9,10
8,0,1,1,1,25,6,9.09090909090909,18.1818181818182,27.2727272727273,18.1818181818182,18.1818181818182,9.09090909090909,1,7,6,8,7,9,8,7
9,0,1,0,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,10,10,10,10,10,10,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,5,10,10,6,6,6,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,10,9,8,8,7,7,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,8,9,9,7,6,5,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,6,8,9,6,6,6,5
9,0,1,0,0,26,6,20,10,20,30,10,10,1,6,7,8,7,9,6,5
9,0,1,1,1,26,6,20,10,20,30,10,10,1,8,5,5,6,5,5,6
9,0,1,0,0,26,6,20,10,20,30,10,10,1,7,8,7,8,7,8,5
10,0,1,0,0,26,7,15,15,15,40,10,5,0,6,10,10,6,6,NA,3
10,0,1,0,0,26,7,15,15,15,40,10,5,0,1,1,1,1,1,NA,1
10,0,1,1,1,26,7,15,15,15,40,10,5,1,6,10,10,10,6,NA,6
10,0,1,0,1,26,7,15,15,15,40,10,5,0,10,10,10,10,10,NA,1
10,0,1,0,1,26,7,15,15,15,40,10,5,0,5,7,7,7,7,NA,1
10,0,1,0,0,26,7,15,15,15,40,10,5,0,5,10,6,4,6,NA,1
10,0,1,0,0,26,7,15,15,15,40,10,5,1,5,10,8,6,9,NA,1
10,0,1,0,0,26,7,15,15,15,40,10,5,0,5,6,6,4,5,NA,5
10,0,1,1,1,26,7,15,15,15,40,10,5,1,9,9,9,9,9,9,9
10,0,1,0,0,26,7,15,15,15,40,10,5,1,9,9,8,10,8,8,10
11,1,1,0,1,27,7,35,20,20,20,0,5,0,6,8,8,8,8,6,4
11,1,1,0,0,27,7,35,20,20,20,0,5,0,8,7,6,9,7,4,2
11,1,1,0,0,27,7,35,20,20,20,0,5,0,7,8,6,5,8,4,2
11,1,1,0,0,27,7,35,20,20,20,0,5,0,6,7,8,7,7,5,3
11,1,1,0,0,27,7,35,20,20,20,0,5,0,6,8,8,8,7,6,5
11,1,1,0,1,27,7,35,20,20,20,0,5,0,7,9,8,9,8,4,4
11,1,1,0,0,27,7,35,20,20,20,0,5,0,7,8,8,8,7,7,4
11,1,1,0,1,27,7,35,20,20,20,0,5,0,8,7,6,6,6,5,4
11,1,1,0,1,27,7,35,20,20,20,0,5,0,6,8,7,8,7,5,4
11,1,1,0,0,27,7,35,20,20,20,0,5,0,7,8,7,8,6,5,3
12,1,1,0,1,22,7,60,0,0,40,0,0,0,7,8,10,7,7,5,4
12,1,1,0,0,22,7,60,0,0,40,0,0,0,7,6,10,6,6,5,4
12,1,1,0,0,22,7,60,0,0,40,0,0,0,6,7,10,6,6,5,3
12,1,1,0,0,22,7,60,0,0,40,0,0,0,6,5,10,6,6,5,3
12,1,1,0,0,22,7,60,0,0,40,0,0,0,6,7,10,7,6,5,4
12,1,1,0,1,22,7,60,0,0,40,0,0,0,6,8,10,6,7,6,4
12,1,1,0,0,22,7,60,0,0,40,0,0,1,7,9,10,6,6,5,4
12,1,1,1,1,22,7,60,0,0,40,0,0,1,8,8,10,7,6,5,4
12,1,1,1,1,22,7,60,0,0,40,0,0,1,8,8,10,7,6,5,4
12,1,1,0,0,22,7,60,0,0,40,0,0,0,1,1,1,1,1,1,1
13,1,1,1,1,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,0,0,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,1,1,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,1,1,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
13,1,1,1,1,22,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10
14,1,1,1,1,23,8,30,5,15,40,5,5,1,7,8,9,8,9,8,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,9,9,9,9,9,9,7
14,1,1,0,0,23,8,30,5,15,40,5,5,1,7,9,8,8,8,8,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,7,7,7,9,9,9,10
14,1,1,1,1,23,8,30,5,15,40,5,5,1,6,8,6,8,10,10,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,6,8,8,7,9,8,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,8,8,9,8,9,9,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,8,8,8,8,8,7,7
14,1,1,1,1,23,8,30,5,15,40,5,5,1,7,8,7,8,8,7,7
14,1,1,0,0,23,8,30,5,15,40,5,5,1,7,8,7,9,8,8,7
15,1,1,1,1,24,5,30,10,20,10,10,20,1,8,7,9,6,9,7,6
15,1,1,0,0,24,5,30,10,20,10,10,20,1,10,10,10,10,7,8,1
15,1,1,0,0,24,5,30,10,20,10,10,20,1,6,10,8,6,NA,NA,1
15,1,1,0,0,24,5,30,10,20,10,10,20,1,8,8,9,8,8,9,7
15,1,1,0,0,24,5,30,10,20,10,10,20,0,5,9,9,7,9,5,7
15,1,1,0,0,24,5,30,10,20,10,10,20,1,9,7,9,7,9,6,2
15,1,1,0,0,24,5,30,10,20,10,10,20,1,8,7,9,6,9,5,4
15,1,1,1,1,24,5,30,10,20,10,10,20,1,9,9,8,9,NA,7,7
15,1,1,1,1,24,5,30,10,20,10,10,20,1,7,9,8,9,7,7,8
15,1,1,0,0,24,5,30,10,20,10,10,20,1,6,9,9,7,8,NA,6
16,1,1,0,0,25,7,50,0,30,10,0,10,1,7,7,8,8,7,7,6
16,1,1,0,0,25,7,50,0,30,10,0,10,1,7,8,7,5,7,7,5
16,1,1,0,0,25,7,50,0,30,10,0,10,1,7,6,6,6,6,6,7
16,1,1,0,0,25,7,50,0,30,10,0,10,1,6,6,7,7,8,7,6
16,1,1,0,1,25,7,50,0,30,10,0,10,0,5,8,7,7,7,7,7
16,1,1,0,0,25,7,50,0,30,10,0,10,1,6,6,8,8,8,7,6
16,1,1,0,0,25,7,50,0,30,10,0,10,1,8,8,8,6,6,6,7
16,1,1,1,1,25,7,50,0,30,10,0,10,1,8,7,7,7,8,7,6
16,1,1,1,1,25,7,50,0,30,10,0,10,1,6,6,7,8,7,7,5
16,1,1,0,0,25,7,50,0,30,10,0,10,0,NA,8,7,7,7,7,6
17,1,1,0,1,30,4,35,15,25,10,5,10,0,3,6,7,5,8,7,1
17,1,1,0,1,30,4,35,15,25,10,5,10,0,5,3,4,3,5,3,3
17,1,1,0,0,30,4,35,15,25,10,5,10,0,6,3,5,4,5,4,2
17,1,1,0,0,30,4,35,15,25,10,5,10,1,7,6,3,5,6,5,4
17,1,1,0,1,30,4,35,15,25,10,5,10,0,2,3,4,4,5,3,3
17,1,1,0,1,30,4,35,15,25,10,5,10,0,5,6,8,4,5,4,3
17,1,1,0,1,30,4,35,15,25,10,5,10,0,7,6,5,4,4,3,4
17,1,1,0,1,30,4,35,15,25,10,5,10,0,6,4,7,5,6,4,4
17,1,1,1,1,30,4,35,15,25,10,5,10,1,8,6,7,8,6,5,4
17,1,1,0,1,30,4,35,15,25,10,5,10,0,7,7,4,3,4,4,6
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,6,7,5,6,8,6,5
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,1,7,7,7,7,7,5,6
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,4,5,6,4,6,4,1
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,6,7,8,6,6,5,7
18,1,1,0,1,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,5,5,6,5,5,5,5
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,6,7,8,7,8,5,6
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,1,8,7,6,7,7,5,5
18,1,1,1,1,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,1,9,8,8,8,7,5,5
18,1,1,0,1,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,7,7,7,7,6,5,5
18,1,1,0,0,27,5,33.3333333333333,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,22.2222222222222,0,6,6,6,6,6,5,6
19,1,1,1,1,28,10,50,0,25,10,0,15,1,7,7,8,8,8,9,8
19,1,1,1,1,28,10,50,0,25,10,0,15,1,8,6,9,9,8,7,8
19,1,1,0,0,28,10,50,0,25,10,0,15,1,7,7,6,8,7,7,7
19,1,1,1,1,28,10,50,0,25,10,0,15,1,7,7,7,10,9,10,8
19,1,1,1,1,28,10,50,0,25,10,0,15,1,5,9,9,9,9,6,7
19,1,1,1,1,28,10,50,0,25,10,0,15,1,6,7,7,6,6,6,6
19,1,1,1,1,28,10,50,0,25,10,0,15,1,9,7,9,9,9,10,9
19,1,1,1,1,28,10,50,0,25,10,0,15,1,8,7,8,10,8,10,8
19,1,1,1,1,28,10,50,0,25,10,0,15,1,6,6,6,7,6,6,6
19,1,1,1,1,28,10,50,0,25,10,0,15,1,7,7,7,7,6,6,8
20,1,1,0,1,24,6,100,0,0,0,0,0,0,6,6,6,6,6,6,6
20,1,1,0,1,24,6,100,0,0,0,0,0,0,6,5,7,7,9,7,9
20,1,1,0,0,24,6,100,0,0,0,0,0,0,5,6,8,5,8,6,5
20,1,1,0,1,24,6,100,0,0,0,0,0,0,7,8,8,7,8,7,7
20,1,1,0,1,24,6,100,0,0,0,0,0,0,3,10,7,7,10,5,10
20,1,1,0,1,24,6,100,0,0,0,0,0,0,7,10,10,6,10,7,7
20,1,1,0,1,24,6,100,0,0,0,0,0,0,7,6,8,6,8,7,7
20,1,1,1,1,24,6,100,0,0,0,0,0,1,8,10,9,9,8,8,8
20,1,1,0,1,24,6,100,0,0,0,0,0,0,5,6,6,6,6,6,6
20,1,1,0,1,24,6,100,0,0,0,0,0,0,6,6,6,6,6,6,7
21,0,2,0,0,21,5,12,18,20,16,16,18,0,6,8,7,9,5,7,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,5,8,7,5,9,5,2
21,0,2,0,0,21,5,12,18,20,16,16,18,1,8,9,8,8,7,6,3
21,0,2,0,0,21,5,12,18,20,16,16,18,0,5,8,8,4,9,3,1
21,0,2,0,1,21,5,12,18,20,16,16,18,0,7,7,8,5,7,2,1
21,0,2,0,1,21,5,12,18,20,16,16,18,0,6,8,8,6,8,4,2
21,0,2,0,0,21,5,12,18,20,16,16,18,0,6,8,8,6,8,5,2
21,0,2,0,1,21,5,12,18,20,16,16,18,0,4,7,7,4,7,3,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,7,7,7,5,6,3,1
21,0,2,0,0,21,5,12,18,20,16,16,18,1,9,9,10,9,9,8,5
21,0,2,0,0,21,5,12,18,20,16,16,18,0,5,7,7,7,7,6,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,7,4,6,4,4,2,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,5,8,8,5,8,2,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,6,8,7,7,7,2,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,6,8,7,6,8,2,1
21,0,2,0,0,21,5,12,18,20,16,16,18,0,5,9,9,8,9,5,3
22,0,2,0,0,27,4,20,20,20,10,10,20,0,5,7,7,6,7,5,4
22,0,2,0,0,27,4,20,20,20,10,10,20,0,4,7,6,6,7,2,3
22,0,2,0,0,27,4,20,20,20,10,10,20,0,5,6,6,5,6,3,2
22,0,2,0,0,27,4,20,20,20,10,10,20,0,5,7,7,5,7,3,3
22,0,2,1,1,27,4,20,20,20,10,10,20,1,6,8,8,7,7,6,6
22,0,2,1,1,27,4,20,20,20,10,10,20,1,6,7,7,4,6,6,6
22,0,2,0,0,27,4,20,20,20,10,10,20,1,8,7,7,7,6,7,4
22,0,2,0,1,27,4,20,20,20,10,10,20,0,5,7,7,6,6,5,4
22,0,2,0,0,27,4,20,20,20,10,10,20,1,7,7,7,7,7,6,4
22,0,2,0,0,27,4,20,20,20,10,10,20,0,6,7,7,5,7,4,3
22,0,2,0,0,27,4,20,20,20,10,10,20,1,5,6,7,7,7,7,6
22,0,2,0,0,27,4,20,20,20,10,10,20,0,3,4,5,4,4,2,1
22,0,2,0,0,27,4,20,20,20,10,10,20,0,3,6,7,5,5,4,2
22,0,2,0,0,27,4,20,20,20,10,10,20,1,7,7,8,6,7,8,5
22,0,2,0,0,27,4,20,20,20,10,10,20,0,4,5,5,4,5,4,2
22,0,2,0,0,27,4,20,20,20,10,10,20,1,6,7,7,7,7,7,6
23,0,2,0,0,21,5,10,20,40,10,10,10,1,5,7,6,6,6,7,6
23,0,2,0,0,21,5,10,20,40,10,10,10,0,5,7,7,6,6,7,6
23,0,2,0,0,21,5,10,20,40,10,10,10,1,6,6,7,6,6,6,5
23,0,2,1,1,21,5,10,20,40,10,10,10,1,5,7,8,6,6,7,6
23,0,2,1,1,21,5,10,20,40,10,10,10,1,7,7,7,6,6,9,10
23,0,2,1,1,21,5,10,20,40,10,10,10,1,6,7,7,6,7,5,5
23,0,2,0,0,21,5,10,20,40,10,10,10,1,7,6,7,7,7,6,5
23,0,2,0,1,21,5,10,20,40,10,10,10,0,5,6,7,6,6,6,5
23,0,2,0,0,21,5,10,20,40,10,10,10,0,6,6,6,8,6,5,5
23,0,2,0,0,21,5,10,20,40,10,10,10,1,7,7,6,7,6,7,6
23,0,2,0,0,21,5,10,20,40,10,10,10,1,6,6,7,8,8,7,5
23,0,2,0,0,21,5,10,20,40,10,10,10,0,7,6,5,4,4,4,4
23,0,2,0,0,21,5,10,20,40,10,10,10,0,6,6,5,7,5,6,5
23,0,2,0,1,21,5,10,20,40,10,10,10,0,NA,NA,NA,NA,NA,NA,NA
23,0,2,0,1,21,5,10,20,40,10,10,10,0,6,7,6,6,5,5,4
23,0,2,0,0,21,5,10,20,40,10,10,10,0,6,8,7,6,7,5,5
24,0,2,0,0,27,5,10,20,20,15,20,15,0,5,6,7,7,7,NA,3
24,0,2,0,0,27,5,10,20,20,15,20,15,0,7,8,NA,NA,8,NA,4
24,0,2,0,0,27,5,10,20,20,15,20,15,0,6,8,NA,7,NA,NA,5
24,0,2,0,0,27,5,10,20,20,15,20,15,0,7,8,8,8,NA,NA,5
24,0,2,0,1,27,5,10,20,20,15,20,15,0,5,8,8,NA,8,6,7
24,0,2,0,1,27,5,10,20,20,15,20,15,0,7,7,8,NA,8,NA,6
24,0,2,0,0,27,5,10,20,20,15,20,15,1,9,8,7,8,NA,8,7
24,0,2,0,1,27,5,10,20,20,15,20,15,0,5,7,7,7,7,7,7
24,0,2,0,0,27,5,10,20,20,15,20,15,0,7,7,7,8,7,NA,6
24,0,2,0,1,27,5,10,20,20,15,20,15,0,6,NA,NA,8,NA,6,5
24,0,2,0,1,27,5,10,20,20,15,20,15,0,6,8,NA,8,NA,NA,7
24,0,2,0,1,27,5,10,20,20,15,20,15,0,6,6,8,7,8,NA,7
24,0,2,0,0,27,5,10,20,20,15,20,15,0,4,NA,NA,6,8,7,6
24,0,2,0,0,27,5,10,20,20,15,20,15,1,8,NA,NA,7,8,8,7
24,0,2,0,1,27,5,10,20,20,15,20,15,0,6,8,NA,8,8,8,6
24,0,2,0,1,27,5,10,20,20,15,20,15,0,8,7,7,NA,NA,2,4
25,0,2,0,0,25,5,20,20,15,15,15,15,0,7,8,9,6,8,5,4
25,0,2,0,1,25,5,20,20,15,15,15,15,0,5,8,8,6,8,5,3
25,0,2,0,1,25,5,20,20,15,15,15,15,0,6,7,8,7,9,7,5
25,0,2,0,1,25,5,20,20,15,15,15,15,0,4,5,10,4,10,4,5
25,0,2,0,1,25,5,20,20,15,15,15,15,0,6,7,9,7,9,3,4
25,0,2,0,1,25,5,20,20,15,15,15,15,0,6,8,7,5,8,7,5
25,0,2,0,1,25,5,20,20,15,15,15,15,0,7,8,8,6,10,6,7
25,0,2,0,1,25,5,20,20,15,15,15,15,0,3,8,9,8,10,5,4
25,0,2,0,1,25,5,20,20,15,15,15,15,0,7,8,8,8,6,6,6
25,0,2,0,1,25,5,20,20,15,15,15,15,0,8,8,9,8,9,8,8
25,0,2,0,1,25,5,20,20,15,15,15,15,0,9,8,9,8,10,7,7
25,0,2,0,0,25,5,20,20,15,15,15,15,0,6,5,8,7,10,8,7
25,0,2,0,1,25,5,20,20,15,15,15,15,0,5,4,7,5,9,7,4
25,0,2,0,1,25,5,20,20,15,15,15,15,0,7,8,9,7,8,5,7
25,0,2,0,1,25,5,20,20,15,15,15,15,0,5,8,8,6,9,6,7
25,0,2,0,1,25,5,20,20,15,15,15,15,0,7,7,7,8,8,6,5
26,0,2,0,0,23,7,20,20,20,15,15,10,0,2,5,5,3,5,2,2
26,0,2,0,1,23,7,20,20,20,15,15,10,0,2,5,5,3,5,2,2
26,0,2,0,1,23,7,20,20,20,15,15,10,0,2,5,5,3,7,3,2
26,0,2,0,1,23,7,20,20,20,15,15,10,0,2,6,7,1,7,2,3
26,0,2,0,1,23,7,20,20,20,15,15,10,0,3,8,7,6,6,4,4
26,0,2,0,1,23,7,20,20,20,15,15,10,0,4,7,6,1,4,3,2
26,0,2,0,1,23,7,20,20,20,15,15,10,0,7,4,5,6,5,4,5
26,0,2,0,1,23,7,20,20,20,15,15,10,0,3,7,6,4,6,2,2
26,0,2,0,1,23,7,20,20,20,15,15,10,0,6,5,5,7,6,3,4
26,0,2,0,1,23,7,20,20,20,15,15,10,0,5,8,8,7,7,6,5
26,0,2,0,1,23,7,20,20,20,15,15,10,0,7,6,6,7,6,6,5
26,0,2,0,1,23,7,20,20,20,15,15,10,0,6,7,6,5,6,6,4
26,0,2,0,1,23,7,20,20,20,15,15,10,0,2,7,6,4,4,4,4
26,0,2,0,1,23,7,20,20,20,15,15,10,0,6,8,8,6,7,5,6
26,0,2,0,1,23,7,20,20,20,15,15,10,0,2,8,7,2,7,2,3
26,0,2,0,1,23,7,20,20,20,15,15,10,0,6,6,6,6,6,4,5
27,0,2,0,0,22,5,17,10,18,20,25,10,0,2,6,6,6,6,NA,3
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,6,4,2,1,NA,1
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,4,6,2,6,1,2
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,6,7,6,4,3,3
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,3,4,2,2,1,4
27,0,2,0,1,22,5,17,10,18,20,25,10,0,3,6,6,4,5,1,2
27,0,2,1,1,22,5,17,10,18,20,25,10,1,8,7,6,6,4,4,5
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,4,5,4,4,4,5
27,0,2,0,1,22,5,17,10,18,20,25,10,0,4,6,4,5,6,7,1
27,0,2,0,1,22,5,17,10,18,20,25,10,0,4,5,4,5,6,NA,3
27,0,2,1,1,22,5,17,10,18,20,25,10,1,6,5,6,7,8,4,4
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,2,6,1,6,2,3
27,0,2,0,1,22,5,17,10,18,20,25,10,0,1,3,7,1,4,2,3
27,0,2,0,1,22,5,17,10,18,20,25,10,0,6,4,8,3,8,2,3
