"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode"
"20150325T000000",210490,3,1,990,8528,1,0,3,6,990,0,1966,0,98023
"20140716T000000",785000,4,2.5,2290,13416,2,0,4,9,2290,0,1981,0,98007
"20150428T000000",450000,3,1.75,1250,5963,1,0,4,7,1250,0,1953,0,98115
"20150311T000000",1350000,3,2.5,2753,65005,1,1,5,9,2165,588,1953,0,98070
"20140916T000000",228000,3,1,1190,9199,1,0,3,7,1190,0,1955,0,98148
"20150217T000000",345000,5,2.5,3150,9134,1,0,4,8,1640,1510,1966,0,98056
"20141231T000000",6e+05,3,1.75,1410,4080,1,0,4,7,1000,410,1950,0,98117
"20150205T000000",585000,2,1.75,1980,8550,1,0,3,7,990,990,1981,0,98117
"20150303T000000",920000,5,2.25,2730,6000,1.5,0,3,8,2130,600,1927,0,98105
"20140512T000000",885000,4,2.5,2830,5000,2,0,3,9,2830,0,1995,0,98105
"20140819T000000",292500,4,2.5,2250,4495,2,0,3,7,2250,0,2008,0,98042
"20150407T000000",301000,3,2.5,2420,4750,2,0,3,8,2420,0,2003,0,98042
"20140827T000000",951000,5,3.25,3250,14342,2,0,4,8,3250,0,1968,0,98008
"20150223T000000",430000,4,3,1850,9976,2,0,3,8,1850,0,1991,0,98059
"20141210T000000",650000,3,2.25,2150,21235,1,0,4,8,1590,560,1959,0,98166
"20140828T000000",289000,3,1.75,1260,8400,1,0,3,7,1260,0,1954,0,98148
"20141021T000000",505000,3,1.75,2519,8690,2,0,5,8,2519,0,1973,0,98166
"20141207T000000",549000,3,1.75,1540,1044,3,0,3,8,1540,0,2014,0,98115
"20140603T000000",425000,3,2.25,1660,6000,1,0,3,7,1110,550,1979,0,98122
"20141120T000000",317625,3,2.75,2770,3809,1.5,0,5,7,1770,1000,1925,0,98144
"20140909T000000",975000,4,2.5,2720,11049,2,0,3,10,2720,0,1989,0,98004
"20141009T000000",287000,4,2.5,2240,4648,2,0,3,7,2240,0,2005,0,98001
"20140825T000000",204000,3,1,1000,12070,1,0,4,7,1000,0,1968,0,98042
"20140612T000000",1325000,5,2.25,3200,20158,1,0,3,8,1600,1600,1965,0,98004
"20140912T000000",1040000,5,3.25,4770,50094,1,0,4,11,3070,1700,1973,0,98005
"20150105T000000",325000,3,2,1260,5612,1,0,4,7,1260,0,1972,0,98034
"20140610T000000",571000,4,2,2750,7807,1.5,0,5,7,2250,500,1916,0,98125
"20140710T000000",360000,4,2.5,2380,5000,2,0,3,8,2380,0,2005,0,98038
"20150316T000000",349000,3,1.75,1790,50529,1,0,5,7,1090,700,1965,0,98042
"20141105T000000",832500,4,4,3430,35102,2,0,4,10,2390,1040,1986,0,98075
"20141013T000000",380000,4,1.75,1760,7300,1,0,3,7,880,880,1956,0,98008
"20150420T000000",480000,3,1,1040,5060,1,0,3,7,1040,0,1941,0,98116
"20140609T000000",410000,3,1,1410,5060,1,0,4,7,910,500,1956,0,98133
"20150323T000000",720000,4,2.5,3450,39683,2,0,3,10,3450,0,2002,0,98010
"20141202T000000",390000,3,2.5,2350,5100,2,0,3,8,2350,0,2003,0,98038
"20141222T000000",360000,4,2.5,1900,5889,2,0,3,7,1900,0,1992,0,98038
"20141028T000000",355000,2,1,2020,6720,1,0,3,7,1010,1010,1948,0,98118
"20150128T000000",356000,3,1.5,1680,8712,1,0,3,8,1680,0,1964,0,98059
"20140602T000000",315000,3,1,960,6634,1,0,3,6,960,0,1952,0,98125
"20141114T000000",940000,3,1.5,2140,3600,2,0,3,9,1900,240,1925,0,98119
"20141103T000000",305000,5,2.25,2660,8400,1.5,0,5,7,2660,0,1961,0,98092
"20140618T000000",461000,3,3.25,2770,6278,2,0,3,9,1980,790,2006,0,98056
"20140519T000000",215000,2,2.25,1610,2040,2,0,4,7,1610,0,1979,0,98056
"20140904T000000",335000,2,1.75,1030,1066,2,0,3,7,765,265,2006,0,98136
"20140522T000000",243500,4,2.5,1980,7403,2,0,3,7,1980,0,1988,0,98023
"20150311T000000",1099880,5,2.75,3520,6353,2,0,4,10,3520,0,2001,0,98199
"20150226T000000",153000,3,1,1200,10500,1,0,3,7,1200,0,1962,0,98023
"20140725T000000",430000,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0,98117
"20141223T000000",7e+05,3,1.5,1580,5000,1,0,3,8,1290,290,1939,0,98117
"20140908T000000",905000,4,2.5,3300,10250,1,0,3,7,2390,910,1946,1991,98040
"20150330T000000",247500,3,1.75,1960,15681,1,0,3,7,1960,0,1967,0,98032
"20140912T000000",199000,4,1.5,1160,6400,1,0,4,7,1160,0,1975,0,98023
"20140711T000000",314000,3,1.75,1810,41800,1,0,5,7,1210,600,1980,0,98038
"20140516T000000",437500,3,2.5,2320,36847,2,0,3,9,2320,0,1992,0,98045
"20140611T000000",850830,3,2.5,2070,13241,1.5,0,5,9,1270,800,1910,0,98102
"20141027T000000",555000,3,2,1980,3478,1.5,0,4,7,1440,540,1929,0,98117
"20141212T000000",699950,3,2.25,2190,107593,2,0,4,8,2190,0,1983,0,98077
"20141007T000000",1088000,3,2.5,2920,8113,2,0,3,8,2920,0,1950,2010,98004
"20140924T000000",290000,3,1,1210,33919,1,0,3,7,1210,0,1954,0,98058
"20150402T000000",375000,3,2.5,2340,10005,1,0,4,8,1460,880,1978,0,98058
"20140523T000000",460000,3,1,1670,4005,1.5,0,4,7,1170,500,1939,0,98117
"20140723T000000",188500,2,1.75,1240,2493,1,0,4,8,1240,0,1985,0,98198
"20150305T000000",680000,4,2.5,3140,28037,2,0,4,10,3140,0,1991,0,98077
"20140827T000000",470000,5,1.75,2030,12342,2,0,4,7,2030,0,1942,0,98052
"20140725T000000",597750,4,2.5,2310,9624,2,0,3,8,2310,0,1984,0,98027
"20150304T000000",570000,3,1.75,1260,3328,1,0,5,6,700,560,1905,0,98103
"20140916T000000",272500,3,1.75,1540,12600,1,0,4,7,1160,380,1980,0,98038
"20141124T000000",329950,3,1.75,2080,5969,1,0,3,7,1080,1000,1971,0,98108
"20141028T000000",480000,4,2.5,3230,16171,2,0,3,9,2520,710,2001,0,98001
"20141121T000000",740500,3,3.5,4380,6350,2,0,3,8,2780,1600,1900,1999,98117
"20140626T000000",518500,3,3.5,1590,1102,3,0,3,8,1590,0,2010,0,98103
"20140623T000000",205425,2,1,880,6780,1,0,4,6,880,0,1945,0,98178
"20150108T000000",171800,4,2,1570,9600,1,0,3,6,1570,0,1950,0,98168
"20150511T000000",535000,4,1,1610,2982,1.5,0,4,7,1610,0,1925,0,98144
"20150102T000000",660000,3,2.5,2400,6474,1,0,3,8,1560,840,1964,0,98177
"20141119T000000",391500,3,2,1450,9132,1,0,3,7,1450,0,1987,0,98034
"20150406T000000",395000,2,1,770,6000,1,0,3,6,770,0,1953,0,98117
"20141104T000000",445000,4,1.75,2100,4400,1.5,0,5,7,1720,380,1924,0,98118
"20140618T000000",770000,3,2.25,2910,10204,2,0,3,9,2910,0,1990,0,98052
"20150302T000000",1450000,4,2.75,2750,17789,1.5,0,3,8,1980,770,1914,1992,98004
"20140717T000000",445000,3,2.25,2100,8201,1,0,3,8,1620,480,1967,0,98178
"20140717T000000",260000,4,2.25,2160,8811,1,0,3,8,1360,800,1978,0,98023
"20140613T000000",822500,5,3.5,2320,4960,2,0,5,7,1720,600,1926,0,98103
"20150406T000000",430000,4,2.5,2070,4310,2,0,3,7,2070,0,2004,0,98065
"20150105T000000",212000,3,1.75,1060,7875,1,0,4,7,1060,0,1986,0,98092
"20150428T000000",660500,4,2.25,2010,9603,1,0,3,8,1440,570,1986,0,98027
"20140612T000000",784000,3,3.5,3950,111078,1.5,0,3,9,2460,1490,1989,0,98052
"20140512T000000",453246,3,2.5,2010,2287,2,0,3,8,1390,620,2014,0,98029
"20150126T000000",675000,4,3.5,2140,2278,3,0,3,9,2140,0,2005,0,98107
"20140813T000000",199000,3,1.75,1320,17390,1,0,4,7,1320,0,1956,0,98003
"20140805T000000",220000,4,1.75,2020,7840,1,0,3,7,1010,1010,1968,0,98003
"20140529T000000",452000,4,2.25,2590,10002,1,0,4,8,1340,1250,1968,0,98028
"20140707T000000",382500,2,1,1190,4440,1,0,3,6,1190,0,1981,0,98125
"20140507T000000",519950,3,2.25,1170,1249,3,0,3,8,1170,0,2014,0,98107
"20140627T000000",665000,2,1,1110,3200,1,0,3,7,1110,0,1925,0,98119
"20140708T000000",527700,5,2.5,2820,9375,1,0,4,8,1550,1270,1968,0,98006
"20150508T000000",205000,3,1,1610,8579,1,0,4,7,1010,600,1962,0,98058
"20150415T000000",420000,3,1,1060,8097,1,0,4,7,940,120,1923,0,98133
"20150227T000000",5e+05,4,2.25,2030,8517,1,0,4,8,1380,650,1961,0,98006
"20141203T000000",921500,4,2.5,3670,315374,2,0,4,9,3670,0,1994,0,98077
"20140625T000000",890000,4,1,2550,4000,2,0,3,8,2370,180,1905,0,98109
"20140806T000000",430000,2,2.5,2420,60984,2,0,3,7,2420,0,2007,0,98027
"20141030T000000",258000,5,2,2260,12500,1,0,4,8,1130,1130,1960,0,98032
"20141104T000000",511000,3,1,1430,3455,1,0,3,7,980,450,1947,0,98103
"20140820T000000",532170,3,2,1360,3090,2,0,3,8,1360,0,1990,0,98103
"20150409T000000",560000,3,1,1110,5000,1.5,0,3,7,1110,0,1947,0,98107
"20150331T000000",282950,3,1,1250,8200,1,0,4,7,1250,0,1954,0,98003
"20150401T000000",2250000,4,3.25,5180,19850,2,0,3,12,3540,1640,2006,0,98006
"20140516T000000",350000,1,1,700,5100,1,0,3,7,700,0,1942,0,98115
"20140728T000000",215000,3,1,1180,7669,1,0,4,7,1180,0,1967,0,98058
"20141120T000000",650000,5,3.5,3960,25245,2,0,3,9,2500,1460,1996,0,98056
"20140807T000000",320000,4,2.75,2640,7500,1,0,3,8,1620,1020,1967,0,98023
"20141113T000000",247000,3,2,1270,7198,1.5,0,3,7,1270,0,1916,2013,98022
"20141003T000000",320000,4,1.75,1760,11180,1,0,4,8,1760,0,1968,0,98059
"20140507T000000",255000,5,2.25,2060,8632,1,0,3,7,1030,1030,1962,0,98146
"20150309T000000",438000,3,1.75,1780,9660,1,0,3,7,1780,0,1962,0,98034
"20150304T000000",9e+05,3,2.5,3400,16603,2,0,3,10,3400,0,2000,0,98075
"20140620T000000",441000,3,2.75,1910,7280,1,0,3,7,1160,750,1979,0,98034
"20140812T000000",420000,3,2,2020,38332,1,0,4,7,1010,1010,1975,0,98027
"20141208T000000",370000,3,1.75,1580,7000,1,0,3,7,1180,400,1976,0,98034
"20150219T000000",269950,2,1.75,1340,7250,1,0,5,5,700,640,1949,0,98198
"20150324T000000",807100,4,2.5,2680,4499,2,0,3,9,2680,0,1999,0,98006
"20140605T000000",653000,3,2.5,2680,9750,1,0,4,8,1610,1070,1979,0,98034
"20140611T000000",371500,3,2,1370,8336,1,0,5,7,1370,0,1964,0,98133
"20150316T000000",284000,3,1.75,1560,21000,1,0,3,7,1560,0,1954,0,98166
"20150102T000000",272000,3,1.75,2160,7140,1,0,4,7,1670,490,1978,0,98023
"20140502T000000",313000,3,1.5,1340,7912,1.5,0,3,7,1340,0,1955,0,98133
"20150116T000000",917500,4,2.5,3880,35003,2,0,3,10,2570,1310,1984,0,98033
"20140929T000000",673000,4,2.25,2590,8190,2,0,4,8,2590,0,1980,0,98006
"20150210T000000",425000,3,2.5,1120,1100,2,0,3,8,820,300,2008,0,98122
"20140709T000000",399950,5,2.75,1970,5400,1,0,3,7,1320,650,1986,0,98144
"20140530T000000",385000,3,1,1220,4800,1,0,3,6,1220,0,1901,0,98122
"20141117T000000",269950,3,1.5,1950,7560,1,0,4,7,1320,630,1975,0,98022
"20150107T000000",330000,2,1,1350,8220,1,0,3,7,1060,290,1949,0,98177
"20140725T000000",260000,3,2.5,1670,5797,2,0,3,7,1670,0,1988,0,98030
"20150414T000000",470000,4,3,2380,5125,1.5,0,4,7,1680,700,1925,0,98126
"20140613T000000",589000,4,3,2440,9600,2,0,5,7,2440,0,1961,0,98034
"20140723T000000",163500,2,1.5,1050,3419,2,0,3,7,1050,0,1996,0,98038
"20140905T000000",835000,4,2.75,3130,13412,2,0,3,9,2140,990,1993,0,98052
"20141121T000000",1095000,5,3,4090,12850,1,0,4,10,2090,2000,1986,0,98033
"20150415T000000",269000,4,1.75,1490,10000,1,0,4,8,1100,390,1969,0,98023
"20140505T000000",560000,3,2.5,1900,8744,2,0,3,8,1900,0,1987,0,98074
"20150418T000000",615000,4,1,1330,2400,1.5,0,4,6,1330,0,1901,0,98103
"20141205T000000",585188,3,2.25,2230,10026,1,0,3,8,1430,800,1975,0,98052
"20140818T000000",305000,3,1.75,1650,9480,1,0,3,7,1220,430,1977,0,98034
"20141105T000000",166950,3,1,1190,8820,1,0,3,6,1190,0,1959,0,98058
"20140912T000000",799000,3,2.5,2140,9897,1,0,4,8,2140,0,1959,0,98040
"20140625T000000",4e+05,3,2.5,2180,7508,1,0,4,7,1420,760,1962,0,98133
"20141201T000000",230000,3,1,1060,10228,1,0,3,7,1060,0,1948,0,98155
"20140515T000000",256883,3,2.5,1690,5025,2,0,3,8,1690,0,2003,0,98023
"20141111T000000",423000,4,2,1970,6480,1.5,0,5,7,1130,840,1920,0,98108
"20140723T000000",465000,3,2.5,2150,4084,2,0,3,8,2150,0,2007,0,98126
"20150113T000000",440000,3,2.5,1910,66211,2,0,3,7,1910,0,1997,0,98024
"20141014T000000",385000,3,1.75,1350,155073,1,0,4,7,1350,0,1969,0,98038
"20150311T000000",210000,3,1,860,11725,1,0,4,6,860,0,1943,0,98056
"20141112T000000",297000,3,2.5,1940,14952,2,0,3,8,1940,0,1994,0,98042
"20140716T000000",470000,3,1,1010,5000,1,0,3,7,1010,0,1952,0,98107
"20140804T000000",226500,3,1.5,1300,7370,1,0,4,7,900,400,1976,0,98023
"20150303T000000",274250,3,1,910,8450,1,0,4,6,910,0,1962,0,98059
"20140804T000000",840000,4,1.75,2480,11010,1,0,4,9,1630,850,1966,0,98040
"20140919T000000",677900,3,2.5,2440,4587,2,0,3,8,2440,0,2010,0,98052
"20150205T000000",425000,3,1,1010,5864,1,0,3,7,1010,0,1915,0,98116
"20141123T000000",180250,2,0.75,900,9600,1,0,3,6,900,0,1941,0,98166
"20140717T000000",464000,6,3,2300,3404,2,0,3,7,1600,700,1920,1994,98133
"20150422T000000",320000,4,2.25,1550,7579,2,0,3,8,1550,0,1993,0,98038
"20140717T000000",625504,3,2.25,1270,1566,2,0,3,8,1060,210,2014,0,98105
"20140515T000000",592500,4,2.5,2240,12032,1,0,3,9,2240,0,1983,0,98074
"20150114T000000",465000,3,2.5,2714,17936,2,0,3,9,2714,0,2005,0,98001
"20140527T000000",477000,4,2.75,1720,6270,2,0,3,8,1720,0,1978,0,98118
"20150115T000000",280000,2,1,850,16400,1,0,3,6,850,0,1923,0,98168
"20150221T000000",1505000,5,3,3300,33474,1,0,3,9,1870,1430,1957,1991,98040
"20140703T000000",445838,3,2.5,2250,5692,2,0,3,8,2250,0,2000,0,98146
"20140828T000000",1072000,2,2.25,3900,14864,1,0,3,8,1950,1950,1947,0,98144
"20141023T000000",467000,2,1.5,1320,10800,1,0,4,8,1320,0,1947,0,98177
"20140822T000000",686000,4,2.5,2760,6440,2,0,3,10,2760,0,1999,0,98075
"20140605T000000",279950,3,2,1750,9750,1,0,3,7,1350,400,1961,0,98198
"20140904T000000",527000,4,2.25,2330,19436,2,0,3,8,2330,0,1987,0,98011
"20140918T000000",325000,3,2.25,2220,16020,1,0,4,8,1780,440,1966,0,98030
"20140903T000000",328000,3,2.25,2020,8379,2,0,3,7,2020,0,1994,0,98038
"20140604T000000",390000,3,2.25,1250,7500,1,0,5,7,1250,0,1942,0,98146
"20150309T000000",479950,2,2,1510,6516,1,0,3,8,1510,0,2005,0,98053
"20140529T000000",264950,4,2.25,1720,9753,1,0,4,7,1120,600,1978,0,98023
"20150115T000000",235000,3,1,1430,15246,1,0,4,7,980,450,1961,0,98031
"20150303T000000",516500,3,2.5,1480,4729,2,0,3,7,1480,0,2004,0,98053
"20150413T000000",655000,2,1.75,1450,15798,2,1,3,7,1230,220,1915,1978,98166
"20140616T000000",5e+05,4,2.75,2280,15347,1,0,5,7,2280,0,1960,0,98059
"20141121T000000",315000,6,2.75,2940,7350,1,0,3,8,1780,1160,1978,0,98023
"20141120T000000",213000,2,1,1000,10200,1,0,3,6,1000,0,1961,0,98024
"20140902T000000",475000,3,1.5,2480,5280,1.5,0,5,7,1620,860,1947,0,98108
"20140610T000000",1025000,5,4,3760,28040,2,0,3,10,3760,0,1983,0,98033
"20150409T000000",416000,3,2,2220,94300,1,0,5,7,1640,580,1976,0,98010
"20150320T000000",410000,4,1,1970,4740,1.5,0,3,7,1670,300,1904,2005,98122
"20140701T000000",8e+05,3,3.5,3830,221284,2,0,3,10,3530,300,1993,0,98077
"20140529T000000",472000,6,2.5,4410,14034,1,0,4,9,2350,2060,1965,0,98003
"20141208T000000",225000,3,1.75,1430,8505,1,0,4,7,1430,0,1968,0,98003
"20141001T000000",210000,2,1,830,6000,1,0,3,6,830,0,1940,0,98126
"20150127T000000",455000,2,1,1430,5000,1.5,0,2,7,1430,0,1925,0,98115
"20150427T000000",225000,3,1,1300,8316,1,0,4,6,1300,0,1954,0,98002
"20140826T000000",480000,2,1,1030,3060,1,0,4,7,790,240,1918,0,98103
"20150212T000000",363000,3,2.5,2740,11872,2,0,3,9,2740,0,1990,0,98023
"20140929T000000",2400000,4,2.5,3650,8354,1,1,3,9,1830,1820,2000,0,98074
"20150226T000000",181000,2,1.5,720,5120,1,0,3,6,720,0,1954,0,98106
"20150314T000000",250000,4,2,2010,7312,1,0,4,7,2010,0,1976,0,98002
"20150422T000000",481000,3,1.75,1560,3000,1,0,4,6,770,790,1918,0,98103
"20140923T000000",260000,3,2,1810,7209,1,0,4,7,1240,570,1978,0,98032
"20140513T000000",455000,4,2.5,3360,7685,2,0,3,9,3360,0,2001,0,98058
"20150401T000000",415000,3,2.25,1510,36224,2,0,3,8,1510,0,1991,0,98045
"20150421T000000",349500,3,1,1400,3538,1,0,3,7,800,600,1953,0,98118
"20140929T000000",245000,3,2.5,1730,7442,2,0,3,7,1730,0,1987,0,98030
"20140519T000000",592500,2,2,1420,9191,1.5,0,5,7,1420,0,1928,0,98115
"20141020T000000",385000,4,1.75,2360,7620,1,0,4,7,1180,1180,1955,0,98106
"20150211T000000",315000,3,1.75,1580,11455,1,0,4,7,1200,380,1974,0,98059
"20141124T000000",255000,3,1,1230,10170,1,0,3,7,1230,0,1979,0,98045
"20140829T000000",693000,4,2.5,2460,4425,2,0,3,8,2460,0,2006,0,98052
"20141202T000000",780000,3,1,1660,4400,1.5,0,3,8,1460,200,1911,0,98112
"20141024T000000",237000,3,1.75,1270,8470,1,0,4,7,1270,0,1960,0,98198
"20141216T000000",525000,3,2.25,2100,40510,2,0,3,10,1320,780,1979,0,98074
"20150428T000000",425000,2,1,770,5040,1,0,3,5,770,0,1930,0,98144
"20141027T000000",369900,1,0.75,760,10079,1,1,5,5,760,0,1936,0,98070
"20140519T000000",290000,4,2.5,1700,7280,2,0,4,7,1700,0,1988,0,98031
"20140929T000000",285000,3,1,1120,10701,1,0,3,7,1120,0,1954,0,98106
"20140814T000000",415000,2,1,1070,4500,1,0,3,7,1070,0,1937,0,98115
"20150409T000000",272500,3,2.5,2070,9900,1,0,3,8,1420,650,1979,0,98023
"20150504T000000",2900000,4,3.25,5050,20100,1.5,0,3,11,4750,300,1982,2008,98004
"20141007T000000",1365000,4,4.75,5310,57346,2,0,4,11,5310,0,1989,0,98077
"20150501T000000",436000,2,1,1040,7538,1,0,4,7,1040,0,1939,0,98133
"20141017T000000",210000,3,1,1700,11390,1,0,4,7,1700,0,1967,0,98003
"20140925T000000",236000,3,1,1300,5898,1,0,3,7,1300,0,1961,0,98178
"20141124T000000",331000,3,1.75,1080,1306,1,0,3,7,580,500,1954,2003,98199
"20150320T000000",365000,3,2.5,2653,4510,2,0,3,8,2653,0,2006,0,98031
"20150127T000000",450000,3,2,2290,16258,1,0,5,8,2290,0,1960,0,98058
"20141113T000000",770000,4,2.75,3820,26300,2,0,3,9,2850,970,2014,0,98028
"20150505T000000",455000,4,2.5,2210,49375,1,0,3,8,2210,0,1997,0,98038
"20150505T000000",405000,3,1.75,2390,6000,1,0,3,6,1240,1150,1908,0,98118
"20140703T000000",304900,4,1.75,2600,11325,1,0,4,7,1610,990,1969,0,98031
"20150227T000000",170000,2,1,860,5265,1,0,3,6,860,0,1931,0,98178
"20150513T000000",2050000,5,3,3830,8480,2,0,5,9,2630,1200,1905,1994,98122
"20140630T000000",780000,4,2.5,3500,7048,2,0,3,9,3500,0,2005,0,98053
"20150410T000000",330000,3,3,2420,13959,1,0,4,8,1740,680,1988,0,98028
"20140905T000000",370000,4,2.5,2720,8666,2,0,3,9,2720,0,1992,0,98030
"20141017T000000",467000,5,2.25,2500,13500,1,0,3,7,1850,650,1979,0,98072
"20150209T000000",405000,3,1.75,1670,6720,1,0,3,7,1140,530,1980,0,98034
"20140702T000000",675000,5,2.25,2900,10300,1,0,3,8,1450,1450,1985,0,98006
"20140812T000000",5e+05,2,1,1640,14100,1,0,4,7,1140,500,1954,0,98006
"20140723T000000",389999,4,2.5,1890,15770,2,0,4,7,1890,0,1968,0,98166
"20150224T000000",630000,4,1.75,2950,9025,1,0,4,8,1780,1170,1975,0,98034
"20141022T000000",360000,4,2.5,2160,9528,2,0,3,9,2160,0,1992,0,98001
"20141002T000000",580000,4,3,3280,11060,2,0,3,8,2270,1010,1986,0,98056
"20140709T000000",550000,3,2,1970,4166,2,0,5,8,1270,700,1929,0,98126
"20140710T000000",879000,4,2.5,3360,22111,2,0,3,10,3360,0,1994,0,98075
"20140822T000000",265000,3,2,1320,8959,1,0,3,7,1320,0,1993,0,98042
"20150304T000000",446500,3,2.5,2650,7286,2,0,3,8,2650,0,1990,0,98059
"20140602T000000",404000,3,1.5,2030,8880,1,0,3,7,1330,700,1963,0,98108
"20140529T000000",267500,3,1.75,1590,11914,1,0,3,7,1090,500,1957,0,98188
"20140624T000000",3075000,4,5,4550,18641,1,1,3,10,2600,1950,2002,0,98074
"20140811T000000",335000,3,2.5,2440,7632,2,0,3,8,2440,0,1998,0,98003
"20140619T000000",576000,3,2.5,1940,9000,1,0,4,7,970,970,1948,0,98117
"20150401T000000",208633,3,2.5,2040,3810,2,0,3,8,2040,0,2006,0,98038
"20150115T000000",315000,3,2.25,2200,8750,1,0,4,7,1120,1080,1964,0,98166
"20150217T000000",725000,3,1.75,1920,3300,1,0,4,8,960,960,1913,0,98112
"20150403T000000",550000,4,2.75,1800,7750,1,0,4,8,1400,400,1965,0,98177
"20140612T000000",610750,4,2.25,2180,7297,2,0,3,8,2180,0,1984,0,98074
"20150228T000000",550700,2,1,1010,5000,1.5,0,4,6,1010,0,1908,0,98105
"20150108T000000",665000,4,2.75,3320,10574,2,0,5,8,2220,1100,1960,0,98056
"20150209T000000",834000,4,2.5,2370,4000,1.5,0,5,8,1980,390,1928,0,98144
"20141023T000000",201000,5,1.75,1660,78408,1.5,0,3,6,1660,0,1915,0,98065
"20140502T000000",2384000,5,2.5,3650,9050,2,0,5,10,3370,280,1921,0,98119
"20140618T000000",1384000,4,3.25,4290,12103,1,0,3,11,2690,1600,1997,0,98006
"20141209T000000",1400000,4,3.25,4290,12103,1,0,3,11,2690,1600,1997,0,98006
"20141105T000000",305000,4,2.25,1950,7700,1,0,3,8,1350,600,1979,0,98058
"20150408T000000",487000,3,2,2590,14052,1,0,5,8,1720,870,1948,0,98133
